"","Region","Dataset","TSid","Archive","Category","Proxy","Season","Interp","Direction","PublicationDOI","SourceURL","AgeRange","Resolution","AgeControlN","AgeControlMax","Lat","Lon"
"1","ARP","GeoB5804-4.Arz.2003","WEB21852084","MarineSediment","Other (not calibrated)","particle size","Annual","P-E","negative","https://doi.org/10.1126/science.1080325","https://doi.org/10.1594/PANGAEA.111890","7.4 - 0.1",122,"8","1460",29.5,34.96
"2","ARP","Qunfcave.Fleitmann.2007","S2LRPRzDX3Apju","Speleothem","Speleothem (δ18O)","d18O","Summer","P","negative","https://doi.org/10.1016/j.quascirev.2006.04.012","http://dx.doi.org/10.17864/1947.256","10.6 - 0.3",6,"17","1649",17.17,54.3
"3","ARP","Tayma.Neugebauer.2022","WEB-8358f-5546-4fa4-9716-b98f3","LakeSediment","Lake Sediment (δ18O)","d18O","Annual","P-E","negative","https://doi.org/10.1038/s43247-022-00368-y","https://doi.org/10.5880/GFZ.4.3.2021.005","9.2 - 4.2",11,"Not Available","Not Available",27.63,38.55
"4","ARS","Hoqcave.VanRampelbergh.2013","S2LRAwkFTDejje","Speleothem","Speleothem (δ18O)","d18O","Winter","P","negative","https://doi.org/10.1016/j.quascirev.2013.01.016","http://dx.doi.org/10.17864/1947.256","5.6 - 0",8,"13","924",12.59,54.35
"5","ARS","Hoqcave.VanRampelbergh.2013","S2LRYaQyDMwILZ","Speleothem","Speleothem (δ13C)","d13C","Winter","P","negative","https://doi.org/10.1016/j.quascirev.2013.01.016","http://dx.doi.org/10.17864/1947.256","5.6 - 0",8,"13","924",12.59,54.35
"6","ARS","Hoqcave.VanRampelbergh.2013","S2LRDg1jlgbIn8","Speleothem","Speleothem (δ18O)","d18O","Winter","P","negative","https://doi.org/10.1016/j.quascirev.2013.01.016","http://dx.doi.org/10.17864/1947.256","4.6 - 0",11,"6","1103.02",12.59,54.35
"7","ARS","Hoqcave.VanRampelbergh.2013","S2LRpSzKt5ew3h","Speleothem","Speleothem (δ13C)","d13C","Winter","P","negative","https://doi.org/10.1016/j.quascirev.2013.01.016","http://dx.doi.org/10.17864/1947.256","4.6 - 0",11,"6","1103.02",12.59,54.35
"8","CAF","GeoB4905.Weldeab.2005","WEB45411107","MarineSediment","Leaf Wax (δD)","dDwax","Annual","P","negative","https://doi.org/10.1130/G21874.1","http://dx.doi.org/10.1594/PANGAEA.738242","12 - 0.2",135,"8","2345",2.5,9.4
"9","CAF","GeoB6518.Schefuss.2005","WEB2ba16237","MarineSediment","Leaf Wax (δD)","dDwax","Annual","P","negative","https://doi.org/10.1038/nature03945","https://doi.pangaea.de/10.1594/PANGAEA.327243","12 - 0",131,"Not Available","Not Available",-5.59,11.22
"10","CAR","DosAnascave.Fensterer.2013","S2LR6km5mqhjli","Speleothem","Speleothem (δ18O)","d18O","Summer","P","negative","https://doi.org/10.1016/j.epsl.2012.11.019","http://dx.doi.org/10.17864/1947.256","12 - 0.1",5,"19","1289",22.38,-83.97
"11","CAR","HodellMiragoane1991","LPDfdd2a0239","LakeSediment","Lake Sediment (δ18O)","d18O","Annual","P-E","negative","https://doi.org/10.1038/352790a0","https://www.ncei.noaa.gov/access/paleo-search/study/23092","12 - 0",18,"Not Available","Not Available",18.4,-73.05
"12","CAU","Bancannia.Dury.1973","OLS_RXfu7xAGzWB","LakeDeposits","Shoreline (Lake Level)","lakeLevel","Annual","P-E","negative","Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/","12 - 0.5",1174,"Shoreline Dates","Not Available",-30.82,141.93
"13","CNA","AdleyLakeParkersPrairie.Digerfeldt.1992","pdRrmkVD3TsBOeoXn7g","LakeSediment","Shoreline (Lake Level)","lakeLevel","Annual","P-E","positive","Digerfeldt et al. (1992)","https://www.ncdc.noaa.gov/paleo/study/28771","12 - 0",597,"Shoreline Dates","Not Available",46,-95
"14","CNA","BeaverLake.Schmieder.2011PaleoDIVER","pdRMMxRg4ypwnub7vhk","LakeSediment","Shoreline (Lake Level)","lakeLevel","Annual","P-E","positive","Schmieder et al. (2011; 2013)","https://www.ncei.noaa.gov/access/paleo-search/study/28771","5.2 - 0",136,"Shoreline Dates","Not Available",42.45,-100.65
"15","CNA","CaddoCreekCore3.Albert.2011","lcRPzK3bolAUBI4YPWm","Creek","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.2179/09-034.1","https://doi.pangaea.de/10.1594/PANGAEA.930512","6.9 - 0",155,"5","2670",32.05,-95.51
"16","CNA","ClearLake.Baker.1992","lcRKzoswtatgqh9p86e","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1016/0033-5894(92)90074-S","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0",225,"10","2730",43.13,-93.43
"17","CNA","Clovis.Haynes.1966","OLS_RGC5Y4gspKt","LakeDeposits","Shoreline (Lake Level)","lakeLevel","Annual","P-E","negative","Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/","12 - 0.5",1174,"Shoreline Dates","Not Available",34.25,-103.33
"18","CNA","IrvinLake.Alwin.1982","lcRu5pCMYC2GUPBBzzd","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Alwin, B.C., 1982. Vegetation history of the Sugar Hills area, Itasca Co., Minnesota. Master's thesis. University of Minnesota, Minneapolis, Minnesota, USA.","https://doi.pangaea.de/10.1594/PANGAEA.930512","11.8 - 0",235,"6","3380",47.14,-93.64
"19","CNA","JonesLake.Teed.2009","lcRCHngCXxJyC7boD1V","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1177/0959683609336569","https://doi.pangaea.de/10.1594/PANGAEA.930512","11.3 - 0",70,"25","2020",49.45,-99.29
"20","CNA","KettleHole.Collins.1968","OLS_Ro4FH6vkuLB","LakeDeposits","Shoreline (Lake Level)","lakeLevel","Annual","P-E","negative","Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/","12 - 0.5",1174,"Shoreline Dates","Not Available",43,-95
"21","CNA","Kirchner.Brugam.1980","OLS_Rcoxn5kpPMy","LakeDeposits","Shoreline (Lake Level)","lakeLevel","Annual","P-E","negative","Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/","12 - 0.5",1174,"Shoreline Dates","Not Available",44.83,-92.77
"22","CNA","LakeWestOkoboji.Van.1979","pdR889sQHzAg5FOKA7S","LakeSediment","Shoreline (Lake Level)","lakeLevel","Annual","P-E","positive","Van Zant 1979","https://www.ncdc.noaa.gov/paleo/study/28771","10.2 - 0",200,"Shoreline Dates","Not Available",46.3,-95.2
"23","CNA","Lubbock.Green.1962","OLS_RF4kqHZt5Ej","LakeDeposits","Shoreline (Lake Level)","lakeLevel","Annual","P-E","negative","Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/","12 - 0.5",1174,"Shoreline Dates","Not Available",33.63,-101.9
"24","CNA","MD02-2553.Poore.2009","WEBd4917199","MarineSediment","Other (not calibrated)","foraminifera","Summer","P","positive","https://doi.org/10.1130/G21040.1","https://doi.org/10.25921/3vcw-7793","9.3 - 0.2",31,"20","895",27.18,-91.42
"25","CNA","MoodyLake.Roy.2003","pdRXf2sxCgEn0CczUtv","LakeSediment","Shoreline (Lake Level)","lakeLevel","Annual","P-E","positive","Roy et al. (2003), Plank and Shuman (unpublished)","https://www.ncdc.noaa.gov/paleo/study/28771","10.2 - 0",239,"Shoreline Dates","Not Available",46.47,-94.24
"26","CNA","MoonLake.Laird.1996","lcR3ODiGVrOdeMTGOjO","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Laird, K.R., 1996. A high-resolution paleoclimatic record of a closed-basin lake in the northern Great Plains. Doctoral dissertation. University of Minnesota, Minneapolis, Minnesota, USA.","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0",70,"11","2980",46.86,-98.16
"27","CNA","Okoboji.Dodd.1968","OLS_R4a8rMDILX2","LakeDeposits","Shoreline (Lake Level)","lakeLevel","Annual","P-E","negative","Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/","12 - 0.5",1174,"Shoreline Dates","Not Available",43.33,-95.2
"28","CNA","Pickerel.Watts.1968","OLS_RifcIdFjsr2","LakeDeposits","Shoreline (Lake Level)","lakeLevel","Annual","P-E","negative","Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/","12 - 0.5",1174,"Shoreline Dates","Not Available",43.5,-97.33
"29","CNA","ReidelLake.AlmquistJacobson.1992","lcR6BJJfRZckOtBFbZP","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1016/0033-5894(92)90033-F","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0",275,"6","3130",46.21,-95.28
"30","CNA","RiceLake.author.1111","lcRSsAIzeDWcvyVipb6","Lake","Pollen (calibrated)","pollen","Annual","P","positive","noPubOnRecord","https://doi.pangaea.de/10.1594/PANGAEA.930512","10.5 - 0",80,"9","2140",48.01,-101.54
"31","CNA","Rutz.Waddington.1969","OLS_RAcSotekegB","LakeDeposits","Shoreline (Lake Level)","lakeLevel","Annual","P-E","negative","Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/","12 - 0.5",1174,"Shoreline Dates","Not Available",44.87,-93.87
"32","CNA","RutzLake.Stuiver.1975","lcRWHzMmVYYcDf6K32p","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1016/0033-5894(75)90027-7","https://doi.pangaea.de/10.1594/PANGAEA.930512","11.7 - 0",160,"7","3130",44.87,-93.86
"33","CNA","SharkeyLake.Camill.2003","lcR5SRLpHOGiAs4Q4SW","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1046/j.1365-2745.2003.00812.x","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0.8",20,"11","1980",44.59,-93.41
"34","CNA","SwanLake.Schmieder.2011","LPD1498ea89","LakeSediment","Other (not calibrated)","mineral","Annual","P-E","positive","https://doi.org/10.1016/j.quascirev.2011.04.011","https://doi.org/10.25921/3vcw-7793","8.4 - 0.1",51,"Not Available","Not Available",42.16,-99.03
"35","CNA","SwanLake.Schmieder.2011","LPD03892251","LakeSediment","Shoreline (Lake Level)","diatom","Annual","P-E","negative","https://doi.org/10.1016/j.quascirev.2011.04.011","https://doi.org/10.25921/3vcw-7793","8.4 - 0",51,"Shoreline Dates","Not Available",42.16,-99.03
"36","CNA","Weber.Fries.1962","OLS_Rh1QgEylyEm","LakeDeposits","Shoreline (Lake Level)","lakeLevel","Annual","P-E","negative","Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/","12 - 0.5",1174,"Shoreline Dates","Not Available",47.47,-91.65
"37","CNA","WestOkobojiLake.vanZant.1979","lcRbTXcI79CR4gJxaFC","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1016/0033-5894(79)90034-6","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0",95,"10","2530",43.33,-95.2
"38","CNA","WestOlafLake.Nelson.2008","lcRDRHpPMtQHS2p3qME","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1111/j.1469-8137.2008.02482.x","https://doi.pangaea.de/10.1594/PANGAEA.930512","8.8 - 0",90,"9","1890",46.6,-96.19
"39","CNA","WestTwinLakeNebraska.Schmieder.2011","pdRfOJh6SjJ3emsFmsY","LakeSediment","Shoreline (Lake Level)","lakeLevel","Annual","P-E","positive","Schmieder et al. (2011; 2013)","https://www.ncei.noaa.gov/access/paleo-search/study/28771","8.5 - 0",230,"Shoreline Dates","Not Available",42.4,-101.44
"40","CNA","WolsfeldLake.Grimm.1981","lcRopIDpnZtAWYZM2E4","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Grimm, E.C., 1981. An ecological and paleoecological study of the vegetation in the Big Woods region of Minnesota. Doctoral dissertation. University of Minnesota, Minneapolis, Minnesota, USA.","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0",200,"10","3360",45.01,-93.57
"41","EAN","DomeF.Uemura.2018","WEBc6552302","GlacierIce","Glacier Ice (Accumulation)","ice accumulation","Annual","P","positive","https://doi.org/10.5194/cp-3-243-2007","www.ncdc.noaa.gov/paleo/study/23371","12 - 0",36,"Layer Counting","Not Available",-77.32,39.67
"42","EAN","EPICADomeC.Stenni.2010","WEBdb3dc48a","GlacierIce","Glacier Ice (Accumulation)","ice accumulation","Annual","P","positive","https://doi.org/10.1016/j.quascirev.2009.10.009","www.ncdc.noaa.gov/paleo/study/27950","12 - 0",19,"Layer Counting","Not Available",-75.1,123.4
"43","EAN","SPC14.Kahle.2021","WEB5a8bf9f7","GlacierIce","Glacier Ice (Accumulation)","ice accumulation","Annual","P","positive","https://doi.org/10..1002/essoar.10503447.1","https://www.usap-dc.org/view/dataset/601396","12 - 0",100,"Layer Counting","Not Available",-89.99,98.16
"44","EAS","Baeg-nyongcave.K..2017","S2LRShfLt8O8RR","Speleothem","Speleothem (δ18O)","d18O","Summer","P","negative","https://doi.org/10.1038/s41598-017-15566-4","http://dx.doi.org/10.17864/1947.256","5.4 - 0",15,"9","787",37.27,128.58
"45","EAS","BayanchaganLakeBY.Jiang.2006","lcRrnLoUTd7IMmW7hE5","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Jiang, W., Guo, Z., Sun, X., Wu, H., Chu, G., Yuan, B., Hatte, C. and Guiot, J., 2006. Reconstruction of climate and vegetation changes of Lake Bayanchagan (Inner Mongolia): Holocene variability of the East Asian monsoon. Quaternary Research, 65(3), pp.411-420.","https://doi.pangaea.de/10.1594/PANGAEA.930512","11.7 - 0.2",175,"7","3010",41.65,115.21
"46","EAS","Cangumiao.Xu.2004","lcRJ9bcRX8zajMu6bEY","Peat","Pollen (calibrated)","pollen","Annual","P","positive","Xu, Q.H., Yang, X.L., Yang, Z.J., Liang, W.D. and Sun, L.M., 2004. Reconstruction of climatic changes of Yanshan Mountain area since 5000 aB.P. inferred from pollen data. Scientia Geographica Sinica, 24(3), pp.339-345 (in Chinese).","https://doi.pangaea.de/10.1594/PANGAEA.930512","5.3 - 0",180,"4","1990",38.97,118.6
"47","EAS","Chadianpo.Zhang.2007","lcRxjdbi8n5mfOcteLV","Paleosol","Pollen (calibrated)","pollen","Annual","P","positive","Zhang, Z.Q., Xu, Q.H., Li, Y.C., Yang, X.L., Jing, Z.C. and Tang, J.G., 2007. Environmental change of the Yin ruins area based on pollen analysis. Quaternary Research, 27(3), pp.461-468 (in Chinese).","https://doi.pangaea.de/10.1594/PANGAEA.930512","7.6 - 3.4",190,"4","2190",36.1,114.4
"48","EAS","ChaohuLakeCH1.Wu.2008","lcRRQAEsiOSvKg2mTq7","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Wu, L., Wang, X.Y., Zhang, G.S. and Xiao, X.Y., 2008. Vegetation evolution and climate change since the Holocene recorded by pollen-charcoal assemblages from lacustrine sediments of Chaohu Lake in Anhui Province. Journal of Palaeogeography, 10(2), pp.183-192 (in Chinese).","https://doi.pangaea.de/10.1594/PANGAEA.930512","11.3 - 0",100,"7","3730",31.56,117.39
"49","EAS","Chenghai.Xu.2020","WEB2b92ddec","LakeSediment","Shoreline (Lake Level)","LakeStatus","Annual","P-E","positive","https://doi.org/10.1029/2019GL084705","https://www.ncei.noaa.gov/access/paleo-search/study/28913","12 - 0.2",43,"Shoreline Dates","Not Available",26.5,100.5
"50","EAS","ChifengQiguoMt.Xu.2002","lcR03YZlwKcvi9NBBso","Fluvial","Pollen (calibrated)","pollen","Annual","P","positive","Xu, Q.H., Yang, Z.J., Cui, Z.J., Yang, X.L. and Liang, W.D., 2002. A study on pollen analysis of Qiguoshan section and ancestor living environment in Chifeng area, Nei Mongol. Scientia Geographica Sinica, 22(4), pp.453-457 (in Chinese).","https://doi.pangaea.de/10.1594/PANGAEA.930512","9.1 - 0.4",310,"7","2460",42.28,118.97
"51","EAS","DaliLake.GoldsmithJiang.2017","WEB40d3e7b3","LakeDeposits","Shoreline (Lake Level)","stratigraphy","Annual","P-E","positive","https://doi.org/10.1073/pnas.1616708114","https://doi.org/10.1073/pnas.1616708114","12 - 0",223,"Shoreline Dates","Not Available",43.43,116.71
"52","EAS","Darkcave.Jiang.2013","S2LR1X4Pheb1ZE","Speleothem","Speleothem (δ18O)","d18O","Summer","P","negative","https://doi.org/10.1177/0959683612471986","http://dx.doi.org/10.17864/1947.256","6.2 - 1.8",24,"9","808",27.2,106.17
"53","EAS","Donggecave.Yuan.2004","S2LRbPwlTL981A","Speleothem","Speleothem (δ18O)","d18O","Summer","P","negative","https://doi.org/10.1126/science.1091220","http://dx.doi.org/10.17864/1947.256","8.9 - 0",4,"47","483",25.28,108.08
"54","EAS","Donggecave.Yuan.2004","S2LRRAIihHA4uf","Speleothem","Speleothem (δ18O)","d18O","Summer","P","negative","https://doi.org/10.1126/science.1091220","http://dx.doi.org/10.17864/1947.256","12 - 0",13,"38","646",25.28,108.08
"55","EAS","Fukugaguchicave.Sone.2013","S2LRjzNSFesB0T","Speleothem","Speleothem (δ18O)","d18O","Winter","P","negative","https://doi.org/10.1016/j.quascirev.2013.06.019","http://dx.doi.org/10.17864/1947.256","10 - 0",6,"10","2304",36.99,137.8
"56","EAS","Furongcave.T.-Y..2011","S2LR0spuNC2W1u","Speleothem","Speleothem (δ18O)","d18O","Summer","P","negative","https://doi.org/10.1016/j.gca.2011.04.003","http://dx.doi.org/10.17864/1947.256","12 - 6",32,"7","2790",29.23,107.9
"57","EAS","Gonghai.Ding.2017","WEBbc36fb7b","LakeSediment","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.5194/cp-13-1285-2017","https://doi.org/10.1594/PANGAEA.880993","12 - 0",10,"Not Available","Not Available",38.54,112.14
"58","EAS","Heifeng.Yang.2019","WEBc755bc5d","Speleothem","Speleothem (δ18O)","d18O","Summer","P","negative","https://doi.org/10.1177/0959683619831433","https://doi.org/10.1177/0959683619831433","11.5 - 0.5",30,"Not Available","Not Available",29.02,107.18
"59","EAS","Heshang.Zhu.2017","WEB920c3f3a","Speleothem","Speleothem (other)","IRM","Annual","P","positive","https://doi.org/10.1073/pnas.1610930114","https://doi.org/10.1073/pnas.1610930114","8.5 - 0.1",64,"Not Available","Not Available",30.45,110.42
"60","EAS","Heshangcave.C..2008","S2LR984dImqQzT","Speleothem","Speleothem (δ13C)","d13C","Summer","P","negative","https://doi.org/10.1016/j.epsl.2007.10.015","http://dx.doi.org/10.17864/1947.256","9.5 - 0",1,"26","819",30.45,110.42
"61","EAS","HeshangCave.Wang.2018","WEB7baf4af4","Speleothem","Speleothem (other)","pH","Annual","P-E","negative","https://doi.org/10.1016/j.quascirev.2018.05.030","https://data.mendeley.com/datasets/k2f3p7wyft/1","8.8 - 0.1",91,"21","704",30.45,110.42
"62","EAS","Hongyuan.Yu.2006","GH28d0af42","Peat","Other (not calibrated)","humification","Summer","P","positive","https://doi.org/10.1007/s11430-006-0615-y","https://www.ncei.noaa.gov/access/paleo-search/study/11931","11.5 - 0.1",20,"11","2430",32.77,102.52
"63","EAS","JinfoCave.Yang.2019","WEB-4c2d3-dbbf-44eb-a641-c92f6","Speleothem","Speleothem (δ18O)","d18O","Summer","P","negative","https://doi.org/10.1177/0959683619831433","https://doi.org/10.1177/0959683619831433","11.6 - 1",50,"5","2966",29.02,107.18
"64","EAS","JinfoCave.Yang.2019","WEB-a98b0-e407-481c-8a60-4ca86","Speleothem","Speleothem (δ18O)","d18O","Summer","P","negative","https://doi.org/10.1177/0959683619831433","https://doi.org/10.1177/0959683619831433","10.5 - 0.3",14,"24","1401",29.02,107.18
"65","EAS","Jiuxiancave.Cai.2010","S2LRCb8IVUAAAd","Speleothem","Speleothem (δ18O)","d18O","Summer","P","negative","https://doi.org/10.1016/j.epsl.2009.12.039","http://dx.doi.org/10.17864/1947.256","12 - 0",5,"30","1770",33.57,109.1
"66","EAS","LakeBayanchagan.Jiang.2010","lcRclYIyYQ8Kq5SvVWo","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Jiang, W., Guiot, J., Chu, G., Wu, H., Yuan, B., Hatte, C. and Guo, Z., 2010. An improved methodology of the modern analogues technique for palaeoclimate reconstruction in arid and semi-arid regions. Boreas, 39(1), pp.145-153.","https://doi.pangaea.de/10.1594/PANGAEA.930512","11.6 - 0.1",90,"7","3010",41.63,115.23
"67","EAS","LianhuacaveHunan.Cosford.2008","S2LRig6NPgl5Aq","Speleothem","Speleothem (δ18O)","d18O","Summer","P","negative","https://doi.org/10.1016/j.epsl.2008.08.018","http://dx.doi.org/10.17864/1947.256","12 - 0.1",10,"42","1794",29.48,109.53
"68","EAS","LianhuacaveShanxi.Dong.2018","S2LRbRVYOu2hWu","Speleothem","Speleothem (δ18O)","d18O","Summer","P","negative","https://doi.org/10.1016/j.jseaes.2017.10.016","http://dx.doi.org/10.17864/1947.256","12 - 0.2",21,"39","1010",38.17,113.72
"69","EAS","LongquanLakeLC2.Liu.1991","lcRCI2bFYEi8iJDZ3pT","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Liu, G.X., 1991. Late-Glacial and Postglacial vegetation and association environment in Jianghan Plain. Acta Botanica Sinica, 33(8), pp.581-588 (in Chinese).","https://doi.pangaea.de/10.1594/PANGAEA.930512","10.6 - 0.1",270,"7","2790",31.08,112.24
"70","EAS","Lugu_ZS10.Zhao.2021","WEB-549aa-b641-401a-8b39-3c413","LakeSediment","Leaf Wax (δD)","dDwax","Summer","P","negative","https://doi.org/10.1029/2021GL092460","https://doi.org/10.5281/zenodo.4706189","12 - 0",83,"Not Available","Not Available",27.72,100.77
"71","EAS","MianchengM1.Yang.1998","lcRXvbC4hazRnHK1FGt","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Yang, X.D., Zhu, Y.X., Jiang, X.Z., Wu, Y.H. and Wang, S.M., 1998. Environmental changes from spore-pollen record of Mianyang region over the past 10000 years. Journal of Lake Sciences, 10(2), pp.23-29 (in Chinese).","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0.7",50,"6","2620",30.18,113.22
"72","EAS","Miryang.Park.2021","WEB2e632027","LakeSediment","Other (not calibrated)","Sediment","Annual","P-E","negative","https://doi.org/10.1177/09596836211019115","https://doi.org/10.1594/PANGAEA.922338","8.3 - 1.9",3,"Not Available","Not Available",35.44,128.78
"73","EAS","Miryang.Park.2021","WEBfbcf81a6","LakeSediment","Pollen (not calibrated)","pollen","Annual","P-E","positive","https://doi.org/10.1177/09596836211019115","https://doi.org/10.1594/PANGAEA.922338","8.3 - 3.2",38,"Not Available","Not Available",35.44,128.78
"74","EAS","ORI-891-16-P1.Kaboth-Bahr.2021","WEB-87b6a-5e14-4618-89be-7923d","MarineSediment","Other (not calibrated)","ln(ti/ca)","Annual","P-E","positive","https://doi.org/10.1594/PANGAEA.934134","https://doi.org/10.1594/PANGAEA.934133","12 - 3.2",28,"4","3385",19.56,116.11
"75","EAS","PosyetBay.Anderson.2002","lcRSIAYzn1UZ8xPJ3S8","Ocean","Pollen (calibrated)","pollen","Annual","P","positive","Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia.","https://doi.pangaea.de/10.1594/PANGAEA.930512","9.7 - 0.2",300,"9","2600",42.63,130.8
"76","EAS","Qinghai.Leipe.2013","GHbd4875df","LakeSediment","Lake Sediment (δ18O)","d18O","Annual","P-E","negative","https://doi.org/10.1016/j.quaint.2013.05.005","https://doi.org/10.1594/PANGAEA.808954","11.9 - 0.3",197,"Not Available","Not Available",36.87,100.17
"77","EAS","Qinghai.Liu.2002","WEB6d14587e","LakeSediment","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1016/j.quascirev.2020.106444","https://doi.org/10.6084/m9.figshare.12480344","12 - 0",50,"Not Available","Not Available",36.67,100.58
"78","EAS","Qingtiancave.Liu.2015","S2LRXxThqdCA5e","Speleothem","Speleothem (δ18O)","d18O","Summer","P","negative","https://doi.org/10.1016/j.quascirev.2015.05.003","http://dx.doi.org/10.17864/1947.256","10.9 - 6.1",2,"8","1232",31.33,110.37
"79","EAS","Qixing.Cai.2001","GH277b6fef","Speleothem","Speleothem (δ18O)","d18O","Summer","P","negative","https://doi.org/10.1007/BF02901169","Not Available","7.7 - 0.2",75,"Not Available","Not Available",26.07,107.27
"80","EAS","Sanbaocave.Dong.2010","S2LRvmcMc9Rkdw","Speleothem","Speleothem (δ18O)","d18O","Summer","P","negative","https://doi.org/10.1177/0959683609350393","http://dx.doi.org/10.17864/1947.256","12 - 0.1",26,"Not Available","Not Available",31.67,110.43
"81","EAS","Shigaocave.Jiang.2012","S2LRZPZvtczPu8","Speleothem","Speleothem (δ18O)","d18O","Summer","P","negative","https://doi.org/10.1007/s11434-011-4848-6","http://dx.doi.org/10.17864/1947.256","9.9 - 0",18,"11","1575",28.18,107.17
